Nome	Tipo	Localidade	Latitude	Longitude
CENTRO 1	Centro de Distribuição	LOCALIDADE 150	-1.3	-47.9
CENTRO 2	Moinho	LOCALIDADE 151	-24.99	-53.47
CENTRO 3	Moinho	LOCALIDADE 152	-3.72	-38.47
CENTRO 4	Centro de Distribuição	LOCALIDADE 153	-3.84	-38.76
CENTRO 5	Centro de Distribuição	LOCALIDADE 154	-16.8	-49.26
CENTRO 6	Centro de Distribuição	LOCALIDADE 155	-23.47	-46.53
CENTRO 7	Moinho	LOCALIDADE 156	-23.3	-51.2
CENTRO 8	Fábrica	LOCALIDADE 157	-9.66	-35.72
CENTRO 9	Moinho	LOCALIDADE 158	-25.14	-50.15
CENTRO 10	Fábrica	LOCALIDADE 159	-22.22	-45.91
CENTRO 11	Centro de Distribuição	LOCALIDADE 160	-22.22	-45.91
CENTRO 12	Centro de Distribuição	LOCALIDADE 161	-8.17	-34.94
CENTRO 13	Centro de Distribuição	LOCALIDADE 162	-22.82	-43.35
CENTRO 14	Moinho / Fábrica	LOCALIDADE 163	-12.96	-38.51
CENTRO 15	Fábrica	LOCALIDADE 164	-12.83	-38.41
CENTRO 16	Fábrica	LOCALIDADE 165	-23.17	-45.92
CENTRO 17	Outros	LOCALIDADE 169	-18.85	-41.94
CENTRO 18	Outros	LOCALIDADE 167	-17.34	-44.94
CENTRO 19	Outros	LOCALIDADE 168	-23.67	-46.46
CENTRO 20	Outros	LOCALIDADE 170	-22.97	-47.00
